ID,Bairro,PageRank
12,BOM PASTOR,0.014935865341144654
99,MANOEL VALINHAS,0.012040243696035648
156,SAO JUDAS TADEU,0.011511940887562917
76,JARDIM CAPITAO SILVA,0.011121211874529068
87,JARDINOPOLIS,0.010851821088497662
139,SANTA LUCIA,0.010534939275504012
70,IPIRANGA,0.010179084185327116
18,CENTRO,0.009918911299976164
11,BELVEDERE,0.009792456966611572
120,ORION,0.009751765526534534
68,INTERLAGOS,0.00970711412481778
28,CHANADOUR,0.009688082862981843
13,CACOCO,0.00934737659201014
1,AFONSO PENA,0.009105345409606126
0,AEROPORTO,0.008978669450650746
165,SERRA VERDE,0.00895469451256044
125,PARAISO,0.00879767253237096
64,HALIM SOUKI,0.00874573154042149
43,DONA ROSA,0.008682448335616882
155,SAO JOSE,0.008313360422969268
50,ESPLANADA,0.008239366894338105
175,VILA CRUZEIRO,0.00820348960797328
101,MARAJO,0.008087532627693555
69,IPANEMA,0.00763294181725681
35,DAVANUZE,0.007491521218494913
107,NACOES,0.0074081036640298486
146,SANTO ANTONIO DOS CAMPOS,0.007389595065484858
131,QUINTA DAS PALMEIRAS,0.007276443258009597
48,ERMINOPOLIS,0.007228599581217649
153,SAO GERALDO,0.007145542841620474
163,SAO SIMAO,0.0070817296482069214
118,NOVO PARAISO,0.007075358446210906
27,CHACARAS SHAROM,0.006981714178352191
185,VIVENDAS DA EXPOSICAO,0.0069525987483384215
26,CHACARAS SANTA RITA,0.0069057869484154735
106,MORUMBI,0.00688054184076279
122,PADRE EUSTAQUIO,0.006814659951635279
114,NOVA HOLANDA,0.006646047756127518
78,JARDIM DAS ACACIAS,0.006644458250765251
133,RANCHO ALEGRE,0.0066180596614608
172,VILA BELO HORIZONTE,0.006540523832987318
112,NOSSA SENHORA DE LOURDES,0.006539859396199961
6,ALVORADA,0.00648710370492503
100,MAR E TERRA,0.006442700443847251
17,CATALAO,0.006434678353320895
110,NOSSA SENHORA DA CONCEICAO,0.006408791977675102
162,SAO SEBASTIAO,0.006397605324769199
81,JARDIM DOS CANDIDES,0.00638392761459332
128,PORTO VELHO,0.006369726246620558
8,ANTONIO FONSECA,0.006350801178348696
126,PLANALTO,0.006265572553210366
115,NOVA SUICA,0.0062110603079596535
136,SAGRADA FAMILIA,0.006144399580470567
141,SANTA MARTHA,0.00605946673374738
75,JARDIM CANDELARIA,0.0060126751366099815
109,NITEROI,0.005969672541836783
168,TIETE,0.005925784418628307
134,REALENGO,0.0059077545774922835
74,JARDIM BRASILIA,0.005901578294385852
62,GRAJAU,0.00589922152971419
129,PRIMAVERA,0.005884261853436968
152,SAO FREI GALVAO,0.005868788584355534
170,UNIVERSITARIO,0.00586748955571027
16,CASTELO,0.00584829962460748
40,DOM CRISTIANO,0.005838175657166691
97,LIBERDADE,0.005809182576357008
102,MARIA HELENA,0.005798726139304562
91,JUSA FONSECA,0.005783662845708097
188,YANES,0.005761514261957085
49,ESPIRITO SANTO,0.005759472551922322
92,JUSCELINO KUBISTCHEK,0.005735482272420361
63,GRANJAS DO SHEIK,0.005729449001674993
3,ALTEROSA,0.005675719687820149
80,JARDIM DAS OLIVEIRAS,0.005648769936042036
149,SAO CAETANO,0.005622890845283528
54,FAZENDA DA UZINA,0.005572627671340054
37,DISTRITO INDUSTRIAL,0.005569318690918259
144,SANTO ANDRE,0.005562009843157723
66,ICARAI,0.005517658589828726
143,SANTA TEREZA,0.005478237708901469
89,JOAO PAULO II,0.005470139080525918
31,CONDOMINIO VILLE ROYALE,0.005468149716306792
113,NOVA FORTALEZA,0.0054322014198544735
105,MORADA NOVA,0.005407085536002068
9,BELA VISTA,0.005407085536002068
132,QUINTINO,0.0053627065791905446
166,SION,0.0053483441902059435
137,SANTA CLARA,0.005331549273415689
169,TOTONHO CARVALHO,0.00531667453982579
184,VISTA ALEGRE,0.00531667453982579
84,JARDIM PRIMAVERA,0.005315451380354484
85,JARDIM REAL,0.005291005291005291
19,CHACARA NOVO HORIZONTE,0.005291005291005291
25,CHACARAS DE SANTA MONICA,0.005291005291005291
30,CONDOMINIO DO RECANTO DAS AGUAS,0.005291005291005291
21,CHACARAS BELO HORIZONTE,0.005291005291005291
46,ELDORADO,0.0052901365263982245
167,TERRA AZUL,0.005288233938113231
15,CASA NOVA,0.005272226780150952
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,0.005261976122075818
14,CAMPINA VERDE,0.0052619759789456315
171,VALE DO SOL,0.005228233518217025
157,SAO LUCAS,0.005219242393916115
151,SAO DOMINGOS,0.005212129852649949
181,VILA ROMANA,0.005142195013871087
127,PONTE FUNDA,0.005134538101417355
96,LEVINDO DE PAULA PEREIRA,0.005060203490381845
142,SANTA ROSA,0.00505276323056512
61,GERALDO PEREIRA,0.00495321261312
160,SAO PAULO,0.004918765241784877
7,ANCHIETA,0.004891605024606055
34,DANILO PASSOS,0.00486117934324263
140,SANTA LUZIA,0.0047344356077429865
39,DO CARMO,0.004697675753301734
121,OSWALDO MACHADO GONTIJO,0.004551573142297666
186,WALCHIR RESENDE,0.0045486473072249645
58,FONTE BOA,0.004512609946992044
178,VILA MINAS GERAIS,0.004503365602633179
41,DOM PEDRO II,0.004465004274114742
111,NOSSA SENHORA DAS GRACAS,0.0044532301596864835
55,FLORERMIDA,0.004425862793090911
138,SANTA CRUZ,0.0044191281392010695
5,ALTO SAO VICENTE,0.004394721124056448
2,ALTA VILLE,0.004301285689548047
158,SAO LUIZ,0.00424764103016195
72,ITAI,0.004235880050402834
119,OLIVEIRAS,0.004228650497472082
98,MANGABEIRAS,0.00403336395641069
51,ESTANCIA GAFANHOTO,0.003966500846075808
42,DONA QUITA,0.003918880608375834
103,MARIA PECANHA,0.0039019713830019897
47,ELIZABETH NOGUEIRA,0.0039019713830019897
145,SANTO ANTONIO,0.0038664279960769193
94,LAGOA DOS MANDARINS,0.0038565898487077544
108,NILDA BARROS,0.003781091433367783
57,FLORESTA,0.003767131793405617
93,JUSSARA,0.0036870748419603546
82,JARDIM FLORAMAR,0.003641513728957108
154,SAO JOAO DE DEUS,0.0036269830834470915
147,SANTOS DUMONT,0.0036152498165672583
33,DA LUZ,0.0036057564989370803
45,DOUTOR JOSE TOMAZ,0.0036057564989370803
52,EXPOSICAO,0.0035797539356531654
29,CIDADE JARDIM,0.0035469549836485265
53,FABIO NOTINI,0.0035441912219967365
159,SAO MIGUEL,0.0035365933652776772
116,NOVA VISTA,0.0035209823046906444
83,JARDIM NOVA AMERICA,0.0034461102037155883
60,GARCIA LEAO,0.0033838518690615517
174,VILA CENTRAL DO DIVINO,0.0033670056087055527
177,VILA DAS ROSEIRAS,0.0033490071367576198
148,SAO BENTO,0.0032851494409310744
44,DOUTOR DULPHE PINTO DE AGUIAR,0.003237542331081531
77,JARDIM COPACABANA,0.003229934472283244
65,HELENO RAMOS FREITAS,0.0030647231783350695
32,COSTA AZUL,0.002948067351511094
123,PADRE HERCULANO,0.002904780311273363
183,VILA SANTO ANDRE,0.002885754538813272
71,ITACOLOMI,0.002791787571421595
67,INHAME,0.002780454517310818
23,CHACARAS BOM RETIRO ,0.002780454517310818
22,CHACARAS BOM RETIRO,0.002773880425923333
187,XAVANTE,0.0027249339115495985
90,JOSE ANTONIO GONCALVES,0.002664930219104834
86,JARDIM ZONA SUL,0.002637937642921033
150,SAO CRISTOVAO,0.002637937642921033
56,FLORERMIDA ,0.002637742889128801
24,CHACARAS CAMPO GRANDE,0.002623369795599754
59,FRANCISCO MACHADO FILHO,0.002585368907076035
36,DEL REY,0.0024612171902379976
135,RESIDENCIAL ALTO DAS OLIVEIRAS,0.0023330123454364873
180,VILA RICA ,0.0023124971643061105
73,JARDIM BETANIA,0.002309098036736046
79,JARDIM DAS MANSOES,0.0022505624408829007
10,BELO VALE,0.002200502719227816
20,CHACARAS BEIRA RIO,0.002113509557824299
164,SAVASSI,0.0020913147061292882
88,JARDM DAS OLIVEIRAS,0.002081249441342478
179,VILA RICA,0.002073107864174117
95,LAGOA PARK,0.0020725829598672147
182,VILA ROSEIRAS,0.0020725829598672147
4,ALTO DAS OLIVEIRAS,0.0020624584259347394
130,PROGRESSO,0.002025818750706321
104,MARISA PARDINI,0.001996447436727333
173,VILA CASTELO,0.0019553130696014875
161,SAO ROQUE,0.0018749794249992707
176,VILA DAS OLIVEIRAS,0.0018515543148683476
124,PADRE LIBERIO,0.0018515543148683476
117,NOVA VISTA ,0.00171828675372954
