ID,Bairro,Comunidade Girvan-Newman,Comunidade Louvain,Comunidade Label Propagation,Comunidade Leiden
0,AEROPORTO,0,6,0,3
1,AFONSO PENA,0,1,1,7
2,ALTA VILLE,0,0,2,1
3,ALTEROSA,1,5,3,0
4,ALTO DAS OLIVEIRAS,0,4,4,4
5,ALTO SAO VICENTE,0,1,1,7
6,ALVORADA,0,4,4,4
7,ANCHIETA,0,4,4,4
8,ANTONIO FONSECA,0,6,5,3
9,BELA VISTA,1,5,6,0
10,BELO VALE,0,11,7,2
11,BELVEDERE,1,5,3,0
12,BOM PASTOR,0,4,1,4
13,CACOCO,1,14,8,8
14,CAMPINA VERDE,0,11,9,11
15,CASA NOVA,0,11,9,11
16,CASTELO,1,5,3,0
17,CATALAO,0,5,10,2
18,CENTRO,0,1,1,7
19,CHACARA NOVO HORIZONTE,2,12,11,12
20,CHACARAS BEIRA RIO,1,10,12,6
21,CHACARAS BELO HORIZONTE,2,12,11,12
22,CHACARAS BOM RETIRO,1,14,8,8
23,CHACARAS BOM RETIRO ,1,14,8,8
24,CHACARAS CAMPO GRANDE,0,0,2,1
25,CHACARAS DE SANTA MONICA,3,3,13,13
26,CHACARAS SANTA RITA,0,11,9,11
27,CHACARAS SHAROM,1,14,8,8
28,CHANADOUR,1,5,14,0
29,CIDADE JARDIM,0,6,5,3
30,CONDOMINIO DO RECANTO DAS AGUAS,4,7,15,14
31,CONDOMINIO VILLE ROYALE,1,5,14,0
32,COSTA AZUL,0,6,0,3
33,DA LUZ,0,8,16,5
34,DANILO PASSOS,0,8,17,5
35,DAVANUZE,0,0,18,1
36,DEL REY,0,8,19,5
37,DISTRITO INDUSTRIAL,5,9,20,9
38,DISTRITO INDUSTRIAL CEL JOVELINO RABELO,1,10,21,6
39,DO CARMO,0,8,22,5
40,DOM CRISTIANO,1,4,23,4
41,DOM PEDRO II,0,5,10,2
42,DONA QUITA,0,0,0,1
43,DONA ROSA,0,0,18,1
44,DOUTOR DULPHE PINTO DE AGUIAR,0,11,7,2
45,DOUTOR JOSE TOMAZ,0,8,16,5
46,ELDORADO,1,13,24,10
47,ELIZABETH NOGUEIRA,0,6,0,3
48,ERMINOPOLIS,5,9,20,9
49,ESPIRITO SANTO,0,8,25,5
50,ESPLANADA,0,6,5,3
51,ESTANCIA GAFANHOTO,1,13,24,10
52,EXPOSICAO,1,5,14,0
53,FABIO NOTINI,0,11,7,11
54,FAZENDA DA UZINA,1,13,24,10
55,FLORERMIDA,5,9,20,9
56,FLORERMIDA ,5,9,20,9
57,FLORESTA,1,14,14,8
58,FONTE BOA,1,4,23,4
59,FRANCISCO MACHADO FILHO,0,6,5,3
60,GARCIA LEAO,0,1,1,7
61,GERALDO PEREIRA,1,5,14,0
62,GRAJAU,1,10,12,6
63,GRANJAS DO SHEIK,1,10,26,6
64,HALIM SOUKI,0,8,19,5
65,HELENO RAMOS FREITAS,0,0,27,1
66,ICARAI,1,13,28,10
67,INHAME,1,14,8,8
68,INTERLAGOS,0,6,5,3
69,IPANEMA,1,10,12,6
70,IPIRANGA,0,1,7,2
71,ITACOLOMI,1,5,3,0
72,ITAI,0,8,25,5
73,JARDIM BETANIA,0,11,7,2
74,JARDIM BRASILIA,0,11,7,2
75,JARDIM CANDELARIA,1,4,23,4
76,JARDIM CAPITAO SILVA,0,1,1,7
77,JARDIM COPACABANA,1,10,26,6
78,JARDIM DAS ACACIAS,1,5,14,0
79,JARDIM DAS MANSOES,0,8,17,5
80,JARDIM DAS OLIVEIRAS,1,4,23,4
81,JARDIM DOS CANDIDES,1,10,21,6
82,JARDIM FLORAMAR,1,10,21,6
83,JARDIM NOVA AMERICA,0,1,1,7
84,JARDIM PRIMAVERA,5,9,20,9
85,JARDIM REAL,6,2,29,15
86,JARDIM ZONA SUL,1,14,8,8
87,JARDINOPOLIS,1,14,8,8
88,JARDM DAS OLIVEIRAS,0,4,30,4
89,JOAO PAULO II,1,10,26,6
90,JOSE ANTONIO GONCALVES,1,5,14,0
91,JUSA FONSECA,0,0,0,3
92,JUSCELINO KUBISTCHEK,1,10,26,6
93,JUSSARA,1,5,3,0
94,LAGOA DOS MANDARINS,1,13,28,10
95,LAGOA PARK,0,0,18,1
96,LEVINDO DE PAULA PEREIRA,0,11,7,2
97,LIBERDADE,0,4,1,4
98,MANGABEIRAS,0,6,31,1
99,MANOEL VALINHAS,0,8,16,5
100,MAR E TERRA,0,6,5,3
101,MARAJO,1,5,14,0
102,MARIA HELENA,0,6,31,1
103,MARIA PECANHA,0,6,0,3
104,MARISA PARDINI,0,0,27,1
105,MORADA NOVA,1,5,6,0
106,MORUMBI,1,10,26,6
107,NACOES,0,0,18,1
108,NILDA BARROS,0,11,9,11
109,NITEROI,0,8,25,5
110,NOSSA SENHORA DA CONCEICAO,0,4,4,4
111,NOSSA SENHORA DAS GRACAS,0,6,5,3
112,NOSSA SENHORA DE LOURDES,0,6,0,3
113,NOVA FORTALEZA,0,4,4,4
114,NOVA HOLANDA,0,6,0,3
115,NOVA SUICA,1,10,12,6
116,NOVA VISTA,1,5,6,0
117,NOVA VISTA ,1,5,3,0
118,NOVO PARAISO,0,0,27,1
119,OLIVEIRAS,0,4,30,4
120,ORION,0,11,7,2
121,OSWALDO MACHADO GONTIJO,0,4,4,4
122,PADRE EUSTAQUIO,0,0,18,1
123,PADRE HERCULANO,1,5,14,0
124,PADRE LIBERIO,0,4,1,4
125,PARAISO,0,0,0,1
126,PLANALTO,0,1,7,2
127,PONTE FUNDA,0,6,31,1
128,PORTO VELHO,0,6,5,3
129,PRIMAVERA,0,8,19,5
130,PROGRESSO,0,6,31,1
131,QUINTA DAS PALMEIRAS,0,6,0,3
132,QUINTINO,0,11,9,11
133,RANCHO ALEGRE,0,11,7,2
134,REALENGO,1,5,3,0
135,RESIDENCIAL ALTO DAS OLIVEIRAS,0,4,4,4
136,SAGRADA FAMILIA,0,0,18,1
137,SANTA CLARA,0,1,1,7
138,SANTA CRUZ,5,9,20,9
139,SANTA LUCIA,0,0,18,1
140,SANTA LUZIA,0,5,7,2
141,SANTA MARTHA,0,4,30,4
142,SANTA ROSA,0,0,18,1
143,SANTA TEREZA,0,6,5,3
144,SANTO ANDRE,1,10,26,6
145,SANTO ANTONIO,0,1,7,2
146,SANTO ANTONIO DOS CAMPOS,5,9,20,9
147,SANTOS DUMONT,0,6,0,3
148,SAO BENTO,0,0,32,1
149,SAO CAETANO,1,13,24,10
150,SAO CRISTOVAO,1,14,8,8
151,SAO DOMINGOS,1,5,33,0
152,SAO FREI GALVAO,1,10,12,6
153,SAO GERALDO,0,8,19,5
154,SAO JOAO DE DEUS,0,6,5,3
155,SAO JOSE,0,5,10,2
156,SAO JUDAS TADEU,1,5,14,0
157,SAO LUCAS,0,8,19,5
158,SAO LUIZ,0,8,25,5
159,SAO MIGUEL,0,5,10,2
160,SAO PAULO,1,5,33,0
161,SAO ROQUE,0,1,7,2
162,SAO SEBASTIAO,0,1,1,7
163,SAO SIMAO,1,10,12,6
164,SAVASSI,1,10,12,6
165,SERRA VERDE,0,4,4,4
166,SION,0,11,7,2
167,TERRA AZUL,0,6,0,3
168,TIETE,0,11,7,2
169,TOTONHO CARVALHO,5,9,20,9
170,UNIVERSITARIO,0,8,22,5
171,VALE DO SOL,0,0,18,1
172,VILA BELO HORIZONTE,0,1,7,2
173,VILA CASTELO,1,5,14,0
174,VILA CENTRAL DO DIVINO,0,1,1,7
175,VILA CRUZEIRO,0,1,1,7
176,VILA DAS OLIVEIRAS,0,4,1,4
177,VILA DAS ROSEIRAS,0,0,32,1
178,VILA MINAS GERAIS,0,1,1,7
179,VILA RICA,0,8,16,5
180,VILA RICA ,0,8,19,5
181,VILA ROMANA,0,8,17,5
182,VILA ROSEIRAS,0,0,18,1
183,VILA SANTO ANDRE,1,5,33,0
184,VISTA ALEGRE,5,9,20,9
185,VIVENDAS DA EXPOSICAO,1,5,33,0
186,WALCHIR RESENDE,0,11,34,2
187,XAVANTE,0,11,34,2
188,YANES,1,5,14,0
